Date,Close-Last,Volume,Open,High,Low,,,
01-09-2019,79.97 ,896552,80.01 ,80.56 ,79.48 ,,,
01-08-2019,79.58 ,1105395,80.37 ,80.98 ,78.90 ,,,
01-07-2019,79.81 ,1406475,79.97 ,80.96 ,79.04 ,,,
01-04-2019,81.95 ,1382027,80.03 ,82.35 ,79.36 ,,,
01-03-2019,78.82 ,1058077,81.92 ,81.92 ,78.66 ,,,
01-02-2019,81.00 ,822436,80.60 ,82.02 ,80.57 ,,,
12-31-2018,81.57 ,458131,80.92 ,82.05 ,80.55 ,,,
12-28-2018,80.53 ,966772,81.13 ,81.85 ,79.60 ,,,
12-27-2018,80.69 ,844290,78.47 ,80.70 ,77.82 ,,,
12-26-2018,79.27 ,799438,77.32 ,79.30 ,75.49 ,,,
12-24-2018,76.75 ,568988,78.43 ,78.89 ,76.67 ,,,
12-21-2018,79.51 ,1664851,80.67 ,82.49 ,79.48 ,,,
12-20-2018,81.01 ,964282,82.85 ,83.20 ,80.53 ,,,
12-19-2018,83.01 ,1017404,83.99 ,84.97 ,82.41 ,,,
12-18-2018,83.74 ,1005670,85.75 ,86.42 ,83.43 ,,,
12-17-2018,85.25 ,876581,86.30 ,86.51 ,85.03 ,,,
12-14-2018,86.54 ,535862,86.72 ,87.34 ,86.01 ,,,
12-13-2018,87.02 ,584859,87.41 ,87.68 ,86.40 ,,,
12-12-2018,87.49 ,560252,88.16 ,88.72 ,87.41 ,,,
12-11-2018,87.31 ,858245,88.26 ,89.62 ,87.24 ,,,
12-10-2018,87.10 ,1033451,87.36 ,87.36 ,85.11 ,,,
12-07-2018,87.36 ,1167414,89.95 ,90.11 ,87.17 ,,,
